Project,Test,ValgJ,,ValgJ (online),,ValgJ (offline),,ValgT,,ValgT (online),,ValgT (offline),,Baseline,ValgT,ValgT (online),ValgT (offline),,,
,test_time,time,violation,time,violation,time,violation,time,unique_traces,time,unique_traces,time,unique_traces,unique traces,red_traces,red_traces,red_traces,,,
ef-redis,"16,129","37,069",0,"38,223",0,"37,414",0,"70,109",79,"56,182",82,"61,989",72,83,"40,086","40,095","40,039",,"20,940","53,980"
PointCloudUtilities,"20,713","47,651",4,"48,989",4,"49,878",4,"158,233","40,601","152,204","39,616","154,129","41,403","39,943","250,835","90,610","164,696",,"26,938","137,520"
jcunit,"19,061","473,009",3,"493,257",3,"396,203",3,"709,736","7,163","719,027","7,426","748,376","7,329","7,582","8,550,226","9,623,778","31,102,400",,"453,948","690,675"
finmath-lib,"1,422,559","3,974,797",175,"3,986,693",175,"3,937,841",175,"5,483,271","7,353","5,659,508","7,550","5,645,944","7,432","7,589","5,510,303","5,203,762","5,328,065",,"2,552,238","4,060,712"
TurkishDeasciifier,"13,838","3,237,597",0,"3,186,179",0,"3,151,193",0,"3,178,248","4,693","36,736","4,213","39,996","3,453","5,168","594,758","704,050","623,093",,"3,223,759","3,164,410"
TurkishSpellChecker,"30,071","9,735,864",0,"9,720,944",0,"10,200,098",0,"11,447,512","26,864","244,778","27,448","254,599","27,526","28,826","2,318,029","3,011,905","4,071,975",,"9,705,793","11,417,441"
java-future-jdk8,"183,249","2,350,893",0,"2,317,025",0,"2,426,820",0,"3,187,229",124,,124,"3,995,710",123,124,"24,893",,"44,616",,"2,167,644","3,003,980"
jackson-core,"36,740","81,721",202,"88,395",202,"86,837",202,"183,677","2,698","169,894","2,724","176,250","2,708","2,782","1,029,079","1,087,885","1,010,495",,"44,981","146,937"
cocolian-nlp,"28,372","98,736",1,"97,077",1,"102,816",1,"142,077","12,595","178,297","27,068","174,606","25,994","34,415","928,583","5,861,080","6,356,113",,"70,364","113,705"
pgs-calc,"57,471","141,728",7,"154,275",7,"156,482",7,"229,290","7,059","452,402","4,301","294,460","5,951","7,769","846,816","18,659,832","3,439,731",,"84,257","171,819"
graphstream/gs-algo,"32,293","99,184",14,,,,,"365,676","15,073",,,,,"224,873",,,
apache/commons-graph,"11,065","46,568",10,,,,,"65,551","35,912",,,,,"35,461",,,
graphstream/gs-core,"9,428","72,039",4,,,,,"93,858",758,,,,,829,,,
palindromicity/simple-syslog,"2,576","36,935",1,,,,,"48,278","2,018",,,,,"2,463",,,
andylamp/BPlusTree,"723,013","751,060",0,,,,,"770,279","1,033",,,,,"1,170",,,
JetBrains/jetCheck,"4,802","30,988",3,,,,,"39,876","1,198",,,,,"1,698",,,
stackify/stackify-api-java,"15,742","497,309",12,,,,,"506,012","14,573",,,,,"16,807",,,
jenkinsci/cppcheck-plugin,"14,875","305,070",8,,,,,"300,034","6,191",,,,,"7,142",,,
nuxeo/gatling-report,"2,191","14,802",0,,,,,"74,466","3,527",,,,,"29,140",,,
jingpeicomp/id-generator,"55,973","185,401",0,,,,,"533,362",323,,,,,399,,,
jkff/ire,"2,336","20,020",1,,,,,"30,979","1,121",,,,,"1,511",,,
umbrant/QuantileEstimation,"1,715","42,222",15,,,,,"212,525","23,289",,,,,"23,290",,,
javasoze/kamikaze,"7,151","202,862",0,,,,,"246,513",406,,,,,427,,,
meanbeanlib/meanbean,"8,969","701,705",4,,,,,"1,067,588","125,823",,,,,"126,465",,,
genepi/haplogrep3,"11,133","94,610",15,,,,,"469,909","82,743",,,,,"73,189",,,
mgormley/pacaya,"13,673","107,918",9,,,,,"144,450","3,010",,,,,"3,490",,,
hankcs/AhoCorasickDoubleArrayTrie,"13,482","136,656",2,,,,,"193,933","2,358",,,,,"3,971",,,
Quickhull3d/quickhull3d,"7,224","27,641",0,,,,,"44,423","95,026",,,,,"101,968",,,
jbossas/jboss-dmr,"26,539","181,172",7,,,,,"683,332","2,063",,,,,"2,320",,,
arnohaase/a-foundation,"28,898","126,189",0,,,,,"440,844","1,112",,,,,"1,257",,,
zhkl0228/TraceReader,"12,365","20,695",0,,,,,"29,727",133,,,,,193,,,
OWASP/url-classifier,"12,687","51,996",10,,,,,"70,814","2,511",,,,,"10,911",,,
lrozenblyum/chess,"12,354","256,140",20,,,,,"340,287","16,399",,,,,"24,643",,,
rpgleparser/rpgleparser,"10,839","87,239",2,,,,,"139,290","8,828",,,,,"11,606",,,
PeterisP/morphology,"18,016","314,861",2,,,,,"575,816","68,453",,,,,"68,988",,,
houbb/segment,"7,493","28,815",1,,,,,"66,946",277,,,,,337,,,
eaftan/hprof-parser,"10,298","22,179",2,,,,,"25,310",203,,,,,205,,,
bonnyfone/vectalign,"7,300","13,880",0,,,,,"19,114","3,772",,,,,"16,236",,,
yomorun/hashids-java,"7,594","12,383",0,,,,,"19,703",42,,,,,42,,,
thegedge/java-radix-tree,"6,622","16,414",2,,,,,"16,282","1,283",,,,,"3,164",,,
tdunning/bandit-ranking,"9,443","27,201",0,,,,,"35,703",35,,,,,35,,,
Kuangcp/NettyBook2,"8,055","16,495",2,,,,,"20,843",19,,,,,18,,,
thorstenwagner/TraJ,"12,230","85,749",2,,,,,"156,658",530,,,,,"2,086",,,
themadcreator/rabinfingerprint,"10,884","41,497",4,,,,,"65,439",466,,,,,474,,,
casbin/jcasbin,"68,695","319,892",3,,,,,"784,335","25,624",,,,,"42,469",,,
