Project,ValgJ,,ValgJ (DUCB),,ValgJ (DSTS),,ValgT,,ValgT (DUCB),,ValgT (DSTS),,
,time,violation,time,violation,time,violation,time,unique_traces,time,unique_traces,time,unique_traces,baseline (uniq)
arnohaase/a-foundation,"130,113",0,"95,937",0,"178,871",0,"391,467","1,085","373,960",757,"466,054",971,"1,257"
zhkl0228/TraceReader,"22,791",0,"21,794",0,"35,457",0,"29,078",129,"30,180",81,"45,929",99,193
OWASP/url-classifier,"55,178",10,"45,907",10,"56,801",10,"70,382","2,479","57,903",811,"69,073","1,297","10,911"
lrozenblyum/chess,"249,586",20,"234,597",19,"269,634",20,"335,552","16,162","312,900","13,465","383,700","4,480","24,643"
rpgleparser/rpgleparser,"91,708",2,"83,737",0,"89,080",1,"128,101","9,073","105,715","4,344","109,314","2,249","11,606"
PeterisP/morphology,"324,177",2,"285,634",2,"342,780",2,"578,273","67,080","562,897","64,830","525,676","14,843","68,988"
houbb/segment,"33,989",1,"31,974",1,"36,788",1,"61,918",288,"59,896",214,"63,126",238,337
eaftan/hprof-parser,"20,974",2,"19,824",2,"28,111",2,"23,003",202,"20,364",175,"31,221",190,205
bonnyfone/vectalign,"15,224",0,"14,083",0,"16,408",0,"18,162","3,615","17,248",335,"19,400","1,064","16,236"
yomorun/hashids-java,"15,538",0,"13,869",0,"22,996",0,"19,379",39,"16,705",33,"24,090",33,42
thegedge/java-radix-tree,"17,379",2,"14,987",2,"18,395",2,"19,415","1,314","17,864",62,"19,350",384,"3,164"
tdunning/bandit-ranking,"27,179",0,"24,813",0,"33,256",0,"36,180",35,"33,118",33,"38,466",35,35
Kuangcp/NettyBook2,"16,128",2,"16,102",2,"17,747",2,"20,032",19,"18,846",18,"21,918",18,18
thorstenwagner/TraJ,"80,348",2,"74,469",2,"115,232",2,"161,556",539,"149,653",509,"192,776","1,689","2,086"
themadcreator/rabinfingerprint,"34,529",4,"33,307",4,"37,106",4,"63,548",439,"57,043",55,"72,069",280,474
casbin/jcasbin,"325,628",3,"328,020",3,"347,696",3,"784,335","25,624","864,532","34,277","705,546","10,483","42,469"
